id	theory	stance	source_type	title	author_or_org	year	url	local_raw_path	status	notes
EW-S-001	elliott_wave	support	professional_reference	Elliott Wave Theory: What It Is and How to Use It	Investopedia	2025	https://www.investopedia.com/terms/e/elliottwavetheory.asp	docs/research/raw/EW-S-001-elliott-wave-theory-what-it-is-and-how-to-use-it.md	captured	origin_url=https://www.investopedia.com/terms/e/elliottwavetheory.asp; capture_via=r.jina.ai; closure-test
EW-S-002	elliott_wave	support	academic_paper	The Effectiveness of the Elliott Waves Theory to Forecast Financial Markets: Evidence from the Currency Market	Canadian Center of Science and Education	2017	https://pdfs.semanticscholar.org/6eff/695787381bfa1c43ced75550ba1a9879403b.pdf	docs/research/raw/EW-S-002-the-effectiveness-of-the-elliott-waves-theory-to-forecast-financial-markets-evidence-from-the-currency-market.md	captured	origin_url=https://pdfs.semanticscholar.org/6eff/695787381bfa1c43ced75550ba1a9879403b.pdf; capture_via=r.jina.ai
FB-C-001	fibonacci	counter	professional_reference	Fibonacci retracement: Meaning, Criticisms & Real-World Uses	Diversification.com	2026	https://diversification.com/term/fibonacci-retracement	docs/research/raw/FB-C-001-fibonacci-retracement-meaning-criticisms-real-world-uses.md	captured	origin_url=https://diversification.com/term/fibonacci-retracement; capture_via=r.jina.ai
FB-S-001	fibonacci	support	professional_reference	Fibonacci retracement definition	IG International	2026	https://www.ig.com/en/glossary-trading-terms/fibonacci-retracement-definition	docs/research/raw/FB-S-001-fibonacci-retracement-definition.md	captured	origin_url=https://www.ig.com/en/glossary-trading-terms/fibonacci-retracement-definition; capture_via=r.jina.ai
PA-C-001	price_action	counter	academic_thesis	An Analysis of Candlestick Charting: the Predictive Power of the Three-Outside-Up and Three-Outside-Down Candlestick Patterns in the Context of Small Capitalization Stocks in the USA	University of Cape Town	2015	https://open.uct.ac.za/server/api/core/bitstreams/e6c53889-2344-4794-8d72-5f41177a3f36/content	docs/research/raw/PA-C-001-an-analysis-of-candlestick-charting-the-predictive-power-of-the-three-outside-up-and-three-outside-down-candlestick-patterns-in-the-context-of-small-capitalization-stocks-in-the-usa.md	captured	origin_url=https://open.uct.ac.za/server/api/core/bitstreams/e6c53889-2344-4794-8d72-5f41177a3f36/content; capture_via=r.jina.ai
PA-C-002	price_action	counter	academic_paper	Predictive Power of Adaptive Candlestick Patterns in Forex Market. Eurusd Case	MDPI	2020	https://www.mdpi.com/2227-7390/8/5/802	docs/research/raw/PA-C-002-predictive-power-of-adaptive-candlestick-patterns-in-forex-market-eurusd-case.md	captured	origin_url=https://www.mdpi.com/2227-7390/8/5/802; capture_via=r.jina.ai
PA-S-001	price_action	support	professional_reference	Top 7 Price Action Trading Strategies	IG International	2021	https://www.ig.com/en/trading-strategies/top-7-price-action-trading-strategies-210510	docs/research/raw/PA-S-001-top-7-price-action-trading-strategies.md	captured	origin_url=https://www.ig.com/en/trading-strategies/top-7-price-action-trading-strategies-210510; capture_via=r.jina.ai
PA-S-002	price_action	support	academic_paper	Can Price Anomalies been Obtained by Using Candlestick Patterns?	National Tsing Hua University	2013	https://mx.nthu.edu.tw/~ylihuang/pdf/Candle.pdf	docs/research/raw/PA-S-002-can-price-anomalies-been-obtained-by-using-candlestick-patterns.md	captured	origin_url=https://mx.nthu.edu.tw/~ylihuang/pdf/Candle.pdf; capture_via=r.jina.ai
SR-S-001	support_resistance	support	academic_paper	Support for Resistance: Technical Analysis and Intraday Exchange Rates	Federal Reserve Bank of New York	2000	https://www.newyorkfed.org/medialibrary/media/research/epr/00v06n2/0007osle.pdf	docs/research/raw/SR-S-001-support-for-resistance-technical-analysis-and-intraday-exchange-rates.md	captured	origin_url=https://www.newyorkfed.org/medialibrary/media/research/epr/00v06n2/0007osle.pdf; capture_via=r.jina.ai
SR-S-002	support_resistance	support	academic_paper	Evidence and Behaviour of Support and Resistance Levels in Financial Time Series	arXiv	2021	https://arxiv.org/pdf/2101.07410v1	docs/research/raw/SR-S-002-evidence-and-behaviour-of-support-and-resistance-levels-in-financial-time-series.md	captured	origin_url=https://arxiv.org/pdf/2101.07410v1; capture_via=r.jina.ai
TA-C-001	technical_analysis	counter	literature_review	Technical Analysis: Literature Review	CFA Institute Research Foundation	2016	https://www.cfainstitute.org/sites/default/files/-/media/documents/book/rf-lit-review/2016/rflrv11n11.pdf	docs/research/raw/TA-C-001-technical-analysis-literature-review.md	captured	origin_url=https://www.cfainstitute.org/sites/default/files/-/media/documents/book/rf-lit-review/2016/rflrv11n11.pdf; capture_via=r.jina.ai
